CNPJ,NOME_FANTASIA,RAZAO_SOCIAL,CIDADE,ESTADO,LOGRADOURO,NUMERO,BAIRRO,CEP,DT_ABERTURA,PORTE,FAIXA_PORTE,FAIXA_FATURAMENTO,VL_CAPITAL_SOCIAL,ATIVIDADE_PRINCIPAL_0,SOCIOS_CARGO,DOMINIOS,LINKEDIN,TELEFONE_GOOGLE_PRO,TELEFONE_PRO_DECISOR,TELEFONE_PRO,EMAILS
19.617.682/0001-04,Não Informado,AYRES E RIBEIRO SOCIEDADE DE ADVOGADOS,SAO PAULO,SP,RUA GOMES DE CARVALHO,1356,VILA OLIMPIA,04547-005,11/12/2013,DEMAIS,PEQUENA,DE 1.5 MM MIL A 2.5 MM,"R$ 10.000,00",6911701 - SERVIÇOS ADVOCATÍCIOS,GILBERTO JOSE AYRES MOREIRA - (SÓCIO-ADMINISTRADOR) | ELISA SILVA DE ASSIS RIBEIRO - (SÓCIO-ADMINISTRADOR) | FERNANDO WESTIN MARCONDES PEREIRA - (SÓCIO COM CAPITAL) | CLAUDIA CRISTINA DOS SANTOS ABROSIO - (SÓCIO COM CAPITAL) | TAIS CRUZ HABIBE - (SÓCIO COM CAPITAL) | IURI VILAS BOAS - (SÓCIO COM CAPITAL) | JHONYTAN MARK DA SILVA - (SÓCIO COM CAPITAL) | LUIZ FELIPE MENEDIN - (SÓCIO COM CAPITAL) | ALEKSANDROS MARKOPOULOU - (SÓCIO COM CAPITAL) | VITORIA MACHADO DE MADUREIRA - (SÓCIO COM CAPITAL) | JONATHAN SINGH MAZON - (SÓCIO COM CAPITAL) | LEONARDO DE ANDRADE ALBERTO - (SÓCIO COM CAPITAL) | LUCAS SOUZA DE ARAUJO - (SÓCIO COM CAPITAL) | MARIA LUIZA MORAIS E ARAUJO - (SÓCIO COM CAPITAL) | RAFAEL PESCUMA RODRIGUES DA SILVA - (SÓCIO COM CAPITAL) | PEDRO ALAMINOS GONCALVES - (SÓCIO COM CAPITAL),"https://ayreswestin.com.br, https://ayresribeiro.com.br, https://ayreswestin.com.br/",,(11) 52250000,(11)972105195 | (31)991566731 | (31)994532685 | (35)999074104 | (11)982451577 | (11)991521898 | (31)988717168 | (31)998311993 | (31)992849443 | (31)986691098 | (31)991113077 | (11)941431997 | (11)953921140 | (11)991063054 | (31)991046378 | (11)970112440 | (11)972106871 | (11)940329158 | (31)982123715 | (11)993483643,(11)52250000 | (11)32409655 | (31)32543600,ayresribeiro@ayresribeiro.com.br | c.cleres@ayresribeiro.com.br | c.cleres@ayreswestin.com.br | r.almeida@ayresribeiro.com.br
19.623.170/0001-50,Não Informado,MACHADO MENDES SOCIEDADE ADVOGADOS,BELO HORIZONTE,MG,RUA OURO PRETO,1596,SANTO AGOSTINHO,30170-048,20/01/2014,DEMAIS,PEQUENA,DE 1.5 MM MIL A 2.5 MM,"R$ 10.000,00",6911701 - SERVIÇOS ADVOCATÍCIOS,CELIO MARCOS LOPES MACHADO - (SÓCIO-ADMINISTRADOR) | ALISON MENDES NOGUEIRA - (SÓCIO COM CAPITAL) | PABLO HENRIQUE DE OLIVEIRA - (SÓCIO COM CAPITAL) | SIMONE LETICIA SEVERO E SOUSA DABES LEAO - (SÓCIO COM CAPITAL),"https://machadomendes.com, https://machadomendes.com/, https://machadomendesadv.com.br",,(31) 25325555,(31)996146444 | (31)997611431 | (37)984038883 | (31)991741070,(61)984138966 | (31)987189629 | (61)33513766 | (31)25325555,administrativo@machadomendes.com | contato@machadomendes.com
19.670.153/0001-74,OLIVEIRA E CARNEIRO SOCIEDADE DE ADVOGADOS,OLIVEIRA E CARNEIRO SOCIEDADE DE ADVOGADOS,ITUVERAVA,SP,RUA CORONEL FLAUZINO BARBOSA SANDOVAL,1238,CIDADE UNIVERSITARIA,14500-000,18/11/2013,DEMAIS,PEQUENA,DE 2.5 MM A 4.7 MM,"R$ 100.000,00",6911701 - SERVIÇOS ADVOCATÍCIOS,DIEGO CARNEIRO TEIXEIRA - (SÓCIO-ADMINISTRADOR) | LUCILADY SILVA FERREIRA - (SÓCIO COM CAPITAL) | GUSTAVO MACHADO BAESSO - (SÓCIO COM CAPITAL) | ANA BEATRIZ ZUVIOLLO - (SÓCIO COM CAPITAL) | MARILIA DE OLIVEIRA - (SÓCIO COM CAPITAL) | GIOVANNA AMENDOLA - (SÓCIO COM CAPITAL) | LUCAS PAIVA BARBOSA - (SÓCIO COM CAPITAL),"https://www.ocadvogados.com.br, https://www.ocadvogados.com.br/, https://carneiroeoliveiraadvogados.com",,(19) 997519277,(16)974051682 | (16)991606387 | (17)981383250 | (16)991021863 | (16)992206523 | (16)994144837,(19)997519277 | (16)37292798 | (16)994553862 | (16)37295599 | (16)38399153,oliveiraecarneiroadv@hotmail.com | administrativo@ocadvogados.com.br
19.692.365/0001-52,ADEMIR DA SILVA E ADVOGADOS,ADEMIR DA SILVA SOCIEDADE INDIVIDUAL DE ADVOCACIA,CURITIBA,PR,ALAMEDA CABRAL,568,SAO FRANCISCO,80410-064,20/09/2013,DEMAIS,PEQUENA,DE 1.5 MM MIL A 2.5 MM,"R$ 20.000,00",6911701 - SERVIÇOS ADVOCATÍCIOS,ADEMIR DA SILVA - (TITULAR PESSOA FÍSICA RESIDENTE OU DOMICILIADO NO BRASIL),http://ademirdasilva.com.br/,,(41) 30152777,(41)997014634,(41)30161146 | (41)988419149 | (41)991573393 | (41)30152777 | (41)30492566,contato@ademirdasilva.com.br | financeiro@ademirdasilva.com.br
19.943.337/0001-60,Não Informado,"BRIGAGAO, DUQUE ESTRADA - ADVOGADOS",RIO DE JANEIRO,RJ,RUA RIO BRANCO,00001,CENTRO,20090-907,15/01/2014,DEMAIS,PEQUENA,DE 2.5 MM A 4.7 MM,"R$ 263.792,00",6911701 - SERVIÇOS ADVOCATÍCIOS,ROBERTO DUQUE ESTRADA DE SOUSA - (SÓCIO-ADMINISTRADOR) | GUSTAVO ANDRE MULLER BRIGAGAO - (SÓCIO-ADMINISTRADOR) | RODRIGO CASERTA RIBEIRO - (SÓCIO COM CAPITAL) | EDUARDO BARBOZA MUNIZ - (SÓCIO COM CAPITAL) | GUSTAVO REIS JOSINO DA COSTA - (SÓCIO COM CAPITAL) | PEDRO DE QUEIROZ GRILLO - (SÓCIO COM CAPITAL) | GABRIEL BEZ BATTI - (SÓCIO COM CAPITAL) | ANA CRISTINA DE PAULO ASSUNCAO - (SÓCIO COM CAPITAL) | JONAS SERAPIAO FERREIRA - (SÓCIO COM CAPITAL) | MARCO ALEXANDRE GONCALVES DOS SANTOS - (SÓCIO COM CAPITAL) | VINICIUS RAMALHO COSTA - (SÓCIO COM CAPITAL) | BRENDA MURY RODRIGUES - (SÓCIO COM CAPITAL) | MARIANA VEIGA BOTEON - (SÓCIO COM CAPITAL) | JULIA LOURENCO RODRIGUES - (SÓCIO COM CAPITAL) | VICTORIA ROCHA PEREIRA - (SÓCIO COM CAPITAL) | GIOVANA TERZARIOL TERENCIO DE MELO - (SÓCIO COM CAPITAL),"https://www.bdelaw.com.br, http://www.bdelaw.com.br/, https://duqueestradaadvogados.com.br",,(21) 35546000,(21)995054660 | (21)999717068 | (21)980338329 | (22)998458402 | (21)998372080 | (21)982353222 | (21)993823999 | (21)998041732 | (21)981412362 | (31)993166274 | (21)971628336,(11)31929272 | (21)35546000 | (11)31929206 | (21)21012278,
20.920.282/0001-52,CARBONERA & TOMAZINI ADVOGADOS ASSOCIADOS,CARBONERA & TOMAZINI ADVOGADOS ASSOCIADOS,GRAVATAI,RS,RUA CORONEL SARMENTO,1260,CENTRO,94010-030,11/08/2014,DEMAIS,PEQUENA,DE 1.5 MM MIL A 2.5 MM,"R$ 5.000,00",6911701 - SERVIÇOS ADVOCATÍCIOS,MAURICIO TOMAZINI DA SILVA - (SÓCIO-ADMINISTRADOR) | GILSON VIEIRA CARBONERA - (SÓCIO-ADMINISTRADOR),https://carboneraetomazini.com.br,https://www.linkedin.com/company/carbonera-tomazini-advogados,,(51)999460797 | (51)999549662,(47)30175941 | (53)991304900 | (47)30288555 | (51)997265382 | (51)39336733 | (51)998813738 | (51)34243615 | (51)996670941 | (85)988238227 | (53)30353615 | (85)30324886 | (85)31223878 | (47)989243140,escritoriocarbonera@gmail.com
20.939.832/0001-85,Não Informado,BRUNO CALFAT ADVOGADOS,RIO DE JANEIRO,RJ,AVENIDA RIO BRANCO,99,CENTRO,20040-004,22/08/2014,DEMAIS,PEQUENA,DE 1.5 MM MIL A 2.5 MM,"R$ 100.000,00",6911701 - SERVIÇOS ADVOCATÍCIOS,BRUNO CALFAT - (SÓCIO-ADMINISTRADOR) | DIEGO PORTO DE CABRERA - (SÓCIO COM CAPITAL) | MONICA MARIA LANAT DA SILVEIRA - (SÓCIO COM CAPITAL) | HUGO LEMES DE OLIVEIRA - (SÓCIO COM CAPITAL) | JONATHAN DA ROCHA SILVA - (SÓCIO COM CAPITAL) | CAIO TAVARES TITO DE SOUZA - (SÓCIO COM CAPITAL) | BRENDA ARAUJO BRITO - (SÓCIO COM CAPITAL) | BRUNO NEVES SELLES - (SÓCIO COM CAPITAL) | EDUARDO MARQUES GARCIA NETO - (SÓCIO COM CAPITAL) | MARINA GARCIA DE PAULA KANTO - (SÓCIO COM CAPITAL) | VICTORIA CASTELO BRANCO PAIXAO CORTES - (SÓCIO COM CAPITAL) | RHAYSSA ANTINARELLI CARDOSO CAMPOS - (SÓCIO COM CAPITAL) | FILIPE GRILLO MEDEIROS - (SÓCIO COM CAPITAL),"https://bcalfat.adv.br, https://www.bcalfat.adv.br/",https://www.linkedin.com/company/bruno-calfat-advogados/,(21) 35901500,(48)996541002 | (21)981485048 | (67)998106769 | (21)973634405 | (21)996037100 | (21)988010470 | (21)971782480 | (61)998068509 | (21)966124941 | (21)998816509,(21)978775551 | (21)972835823 | (21)979092488 | (61)32019988 | (11)23068482 | (21)32219103 | (21)35911501 | (21)35901500,samararosa@bcalfat.adv.br | brunocalfat@bcalfat.adv.br | joaoromeiro@bcalfat.adv.br | jorgerocha@bcalfat.adv.br | brunocosta@bcalfat.adv.br | hiagolima@bcalfat.adv.br | joanafranco@bcalfat.adv.br | marinagarcia@bcalfat.adv.br | marianabrito@bcalfat.adv.br | ramonmelo@bcalfat.adv.br | amandafreitas@bcalfat.adv.br | raianesilva@bcalfat.adv.br | monicalanat@bcalfat.adv.br
21.023.222/0001-08,Não Informado,GABRIEL MALHEIROS ADVOGADOS,BELO HORIZONTE,MG,AVENIDA AUGUSTO DE LIMA,479,CENTRO,30190-005,01/09/2014,DEMAIS,PEQUENA,DE 2.5 MM A 4.7 MM,"R$ 100.000,00",6911701 - SERVIÇOS ADVOCATÍCIOS,GABRIEL MOLLER MALHEIROS - (SÓCIO-ADMINISTRADOR) | MARCELA GOUVEIA GUIMARAES - (SÓCIO-ADMINISTRADOR) | LIVIA FERNANDES PEREIRA - (SÓCIO-ADMINISTRADOR),"http://gmm.adv.br, https://gabrielmalheiros.adv.br, https://www.gabrielmalheiros.adv.br/",,(31) 25130904,(31)972058133 | (31)971154521,(31)971650421 | (31)25130904 | (31)996156391,contato@gabrielmalheiros.adv.br | gmmadv13@gmail.com | nayara.natalicio@gabrielmalheiros.adv.br
21.188.561/0001-36,BOSQUEROLLI E SILVA ADVOGADOS ASSOCIADOS,BOSQUEROLLI E SILVA ADVOGADOS ASSOCIADOS,PORTO ALEGRE,RS,AVENIDA ALBERTO BINS,392,CENTRO HISTORIC,90030-140,21/07/2014,DEMAIS,PEQUENA,DE 2.5 MM A 4.7 MM,"R$ 10.000,00",6911701 - SERVIÇOS ADVOCATÍCIOS,REGIS BOSQUEROLLI PRESTES - (SÓCIO-ADMINISTRADOR) | JEFERSON RODRIGUES DA SILVA - (SÓCIO-ADMINISTRADOR) | SYDNEI MARTINS DE SOUZA - (SÓCIO COM CAPITAL),https://bosquerolliesilva.com.br,,,(51)981061134 | (51)981170108 | (51)982624174,(51)984493796 | (51)981619840 | (51)32250225 | (51)32266299,contato@bsadvogados.net | regis@bosquerolliesilva.com.br
21.262.728/0001-61,Não Informado,SOCIEDADE DE ADVOGADOS CAMARA & UCHOA,FORTALEZA,CE,RUA DOUTOR GILBERTO STUDART,55,COCO,60192-105,16/09/2014,DEMAIS,PEQUENA,DE 1.5 MM MIL A 2.5 MM,"R$ 15.000,00",6911701 - SERVIÇOS ADVOCATÍCIOS,LIDIANNE UCHOA DO NASCIMENTO - (SÓCIO-ADMINISTRADOR) | THIAGO CAMARA LOUREIRO - (SÓCIO-ADMINISTRADOR),"https://camaraeuchoa.com.br, https://camaraeuchoa.com.br/",,(85) 32347172,(85)987066844 | (85)999789354,(85)999120820 | (85)992535859 | (85)32347172 | (85)986916307,contato@camaraeuchoa.com.br | thiagocamara@camaraeuchoa.com.br | alemagnopp@hotmail.com
21.322.232/0001-36,Não Informado,"SOUTO, CORREA SOCIEDADE DE ADVOGADOS",SAO PAULO,SP,AVENIDA DRA RUTH CARDOSO,8501,PINHEIROS,05425-070,30/09/2014,DEMAIS,PEQUENA,DE 2.5 MM A 4.7 MM,"R$ 9.020,00",6911701 - SERVIÇOS ADVOCATÍCIOS,GILBERTO DEON CORREA JUNIOR - (SÓCIO-ADMINISTRADOR) | CARLOS FERNANDO COUTO DE OLIVEIRA SOUTO - (SÓCIO-ADMINISTRADOR) | FERNANDO GOMES DE SOUZA AYRES - (SÓCIO COM CAPITAL) | PEDRO AFONSO FABRI DEMARTINI - (SÓCIO-ADMINISTRADOR) | GIACOMO PARO - (SÓCIO-ADMINISTRADOR) | JOAO ANTONIO MEROLILLO MARIMON - (SÓCIO COM CAPITAL) | JULIA PEREIRA KLARMANN - (SÓCIO COM CAPITAL) | ISABELA BOSCOLO CAMARA - (SÓCIO COM CAPITAL) | MARTHA GIUGNO TERMIGNONI - (SÓCIO COM CAPITAL) | PAULA DE BARROS SILVA - (SÓCIO COM CAPITAL) | JESSICA SCOTT BANFIELD - (SÓCIO COM CAPITAL) | RICARDO QUASS DUARTE - (SÓCIO-ADMINISTRADOR) | SILVIA PAULINI PUPO - (SÓCIO COM CAPITAL) | LUIZA COELHO GUINDANI - (SÓCIO COM CAPITAL) | LUIS ALBERTO SALTON PERETTI - (SÓCIO-ADMINISTRADOR) | JOAO PAULO VELKIS BIO - (SÓCIO COM CAPITAL) | JOEL HEINRICH GALLO - (SÓCIO-ADMINISTRADOR) | FELIPE MOLINA DE CASTRO ROLAND - (SÓCIO COM CAPITAL) | JULIO CESAR COSTA FERRO - (SÓCIO COM CAPITAL) | MARIANA VICENTE NIQUEL - (SÓCIO COM CAPITAL) | PAULO JOSE ROSITO FONSECA - (SÓCIO COM CAPITAL) | ERIKA DONIN DUTRA - (SÓCIO COM CAPITAL) | NATALIE MICHEL SALGADO - (SÓCIO COM CAPITAL) | ANA EMILIA RABELO SANTIAGO - (SÓCIO COM CAPITAL) | GIULIA SPALLETTA - (SÓCIO COM CAPITAL) | HENRYK TRELINSKI ALVARENGA - (SÓCIO COM CAPITAL) | LUCAS DINIZ GRACA - (SÓCIO COM CAPITAL) | MARIA LUISA VIEIRA MATOS - (SÓCIO COM CAPITAL) | RAPHAEL FONSECA DE CAMPOS MARTINS - (SÓCIO COM CAPITAL) | THABATA SILVA RODRIGUES - (SÓCIO COM CAPITAL) | MARIANA AMARAL GUENKA LEME - (SÓCIO COM CAPITAL) | FRANCISCA CAROLINE DA SILVA PERES - (SÓCIO COM CAPITAL) | MILENA PREIORI SERODIO CONEHERO - (SÓCIO COM CAPITAL) | BRUNA BAILOV SCARANELLO - (SÓCIO COM CAPITAL) | MATHEUS JOSE SILVA RIOS - (SÓCIO COM CAPITAL) | TICIANE VITORIA FIGUEIREDO - (SÓCIO COM CAPITAL) | RAQUEL MOREIRA PONTIERI - (SÓCIO COM CAPITAL) | CAMILA ROZZO MARUYAMA - (SÓCIO COM CAPITAL) | WANESKA TAGNIN OVERBECK - (SÓCIO COM CAPITAL) | MARCELA BEATRIZ DE OLIVEIRA - (SÓCIO COM CAPITAL) | AMANDA ARANTES BALDACONE - (SÓCIO COM CAPITAL) | GABRIELA DE ANGELIS OLIVEIRA MELANI - (SÓCIO COM CAPITAL) | MAX FERNANDO FISCHER - (SÓCIO COM CAPITAL) | YOON CHUNG KIM - (SÓCIO-ADMINISTRADOR) | RAFAELLA PECANHA GUZELA - (SÓCIO COM CAPITAL) | TIAGO KUMMEL FIGUEIRO - (SÓCIO-ADMINISTRADOR) | ANA MARIA DE ALVARENGA GUERRA - (SÓCIO COM CAPITAL) | ANA LUISA MARCOS FRANCISCO - (SÓCIO COM CAPITAL) | RAFAEL FRANCISCO ALVES - (SÓCIO-ADMINISTRADOR) | GIOVANNA DAL RE MENONCELLO - (SÓCIO COM CAPITAL) | ISABELLA JUNCAL TUBINI - (SÓCIO COM CAPITAL) | LETICIA DE LIMA KELEMEN - (SÓCIO COM CAPITAL) | LUCCA KALAF RAMALHO DE OLIVEIRA - (SÓCIO COM CAPITAL) | THEO SILVERIO DE OLIVEIRA - (SÓCIO COM CAPITAL) | PAULA ALICE BARROSO CRUZ THOMPSON - (SÓCIO COM CAPITAL) | VICTORIA PEREIRA ANDRADE - (SÓCIO COM CAPITAL) | CARLA GUTTILLA LACERDA - (SÓCIO COM CAPITAL) | LUCAS AUGUSTO MICHELIN GOBBO - (SÓCIO COM CAPITAL) | TOMAZ HENRIQUE LOPES - (SÓCIO COM CAPITAL) | ANA CAROLINA DO VALE GATTI - (SÓCIO COM CAPITAL) | DANIELLI CRISTINA BARRETO DORNELAS - (SÓCIO COM CAPITAL) | LUIZA SOUZA ALKAIM - (SÓCIO COM CAPITAL) | BRUNA MAFFEI BERNARDINELLO - (SÓCIO COM CAPITAL) | AUGUSTO PERICO - (SÓCIO COM CAPITAL) | YMAD MOHAMAD JARRAH - (SÓCIO COM CAPITAL) | FELIPE SEBHASTIAN CALDAS VERAS - (SÓCIO COM CAPITAL) | LAURA FLEMING SAADIA - (SÓCIO COM CAPITAL) | JOAO GUSTAVO GOMES SANTIAGO - (SÓCIO COM CAPITAL) | ANDERSON RIBEIRO NASCIMENTO - (SÓCIO COM CAPITAL) | MATHEUS DIAS MONTECASCIANO - (SÓCIO COM CAPITAL) | CONRADO DE ALMEIDA SAMPAIO DAVOLI - (SÓCIO COM CAPITAL) | ANA LUIZA DE OLIVEIRA VIANA DE CASTRO - (SÓCIO COM CAPITAL) | SOFIA JARDIM CARVALHO - (SÓCIO COM CAPITAL) | DANYELLA NUNES DE SOUZA MARQUES - (SÓCIO COM CAPITAL) | ALVARO DE LIMA ROSSINI - (SÓCIO COM CAPITAL) | ISADORA POSTAL TELLI - (SÓCIO COM CAPITAL) | VERENA MOURA WAISBERG - (SÓCIO COM CAPITAL) | BEATRIZ MANTOVANI BERGAMO - (SÓCIO COM CAPITAL) | LUCIANA MAYUMI SAKAMOTO - (SÓCIO COM CAPITAL) | JULIANA RUIZ COSTA - (SÓCIO COM CAPITAL) | LIGIA XAVIER COELHO TOLEDO BARBOSA - (SÓCIO COM CAPITAL) | STEFANIA FRANCOSO GIOSA TROTTA - (SÓCIO COM CAPITAL) | VANESSA WINKLER - (SÓCIO COM CAPITAL) | PAULO HENRIQUE BIONE DE FIGUEIREDO - (SÓCIO COM CAPITAL) | JULIA VAZQUEZ TOURINHO - (SÓCIO COM CAPITAL) | TIAGO FRANCO DA SILVA GOMES - (SÓCIO-ADMINISTRADOR) | HENRY ELMADJIAN REZENDE LEITE - (SÓCIO COM CAPITAL) | CIBELE ANDREA GOMES DE GODOY - (SÓCIO COM CAPITAL) | CLARICE BARBOSA MORAES DE ALMEIDA - (SÓCIO COM CAPITAL) | JULIO NOGUEIRA ROTHSTEIN PARENTE - (SÓCIO COM CAPITAL) | JOAO GUILHERME DE CASTRO BIBIANO - (SÓCIO COM CAPITAL) | LAURA KORMANN CUNHA GONCALVES SIMOES AUGUSTO - (SÓCIO COM CAPITAL) | SARAH JULIANA DE ARAUJO FAGUNDES - (SÓCIO COM CAPITAL) | BRUNO TEIXEIRA DA SILVA - (SÓCIO COM CAPITAL) | MANOELA PASCAL MARTINS - (SÓCIO-ADMINISTRADOR) | RENATO PARREIRA STETNER - (SÓCIO COM CAPITAL) | MARINA IDELFONSO DE OLIVEIRA SCHRODER - (SÓCIO COM CAPITAL) | MARINA CORREA DE OLIVEIRA LIMA - (SÓCIO COM CAPITAL) | FERNANDA KELER DE OLIVEIRA - (SÓCIO COM CAPITAL) | LETICIA PROVEDEL DA CUNHA - (SÓCIO COM CAPITAL) | JULIA SENE DA SILVA - (SÓCIO COM CAPITAL) | RAFAELA GUZZI ORNELLAS - (SÓCIO COM CAPITAL),"https://soutocorrea.com.br, http://soutocorrea.com.br/",https://www.linkedin.com/company/soutocorrea,(11) 35308400,(11)994910403 | (11)992814979 | (14)998671947 | (11)949026263 | (11)959442936 | (11)945005489 | (51)996442598 | (11)983596141 | (11)981053507 | (12)997182001 | (11)996921686 | (11)999667625 | (11)993855665 | (11)996117858 | (11)982559455 | (11)982095731 | (11)996172805 | (11)973471167 | (11)939333988 | (11)993924927 | (51)999050104 | (11)963296475 | (11)992719009 | (11)942667726 | (18)981319419 | (11)997258960 | (11)999154244 | (11)982701428 | (11)992687931 | (31)991212433 | (11)965570113 | (11)981171009 | (11)977583654 | (11)992214915 | (11)974566600 | (51)981604081 | (12)996015681 | (11)981606147 | (11)972017772 | (11)981601252 | (17)996666279 | (11)994432988 | (11)944835786 | (86)994228754 | (12)982161801 | (21)982095070 | (11)993799859 | (51)981639956 | (11)934503759 | (11)976853222 | (11)981150302 | (11)996786272 | (11)941532344 | (11)989624842 | (11)973220205 | (81)997014250 | (11)995842159 | (11)972701821 | (11)998893744 | (11)982555233 | (11)994986362 | (81)991317918 | (19)981568310 | (11)984350388 | (11)963570144 | (41)988332976 | (11)985674573 | (71)983899666 | (32)984749710 | (11)987077600 | (11)970839084 | (19)974129277,(61)35747808 | (51)30180500 | (21)35906901 | (11)35308400,gilberto.correa@soutocorrea.com.br | faturamento@soutocorrea.com.br
21.487.218/0001-92,Não Informado,SANTOS & BEVILAQUA - SOCIEDADE DE ADVOGADOS.,SAO PAULO,SP,AVENIDA PEDROSO DE MORAIS,1553,PINHEIROS,05419-001,17/11/2014,DEMAIS,PEQUENA,DE 2.5 MM A 4.7 MM,"R$ 857.136,00",6911701 - SERVIÇOS ADVOCATÍCIOS,MARCO ANTONIO BEVILAQUA - (SÓCIO-ADMINISTRADOR) | DANIELA DE MATOS SILVA RODRIGUES - (SÓCIO-ADMINISTRADOR) | JOAO MARCELO MAXIMO RICARDO DOS SANTOS - (SÓCIO-ADMINISTRADOR) | KEILA CHRISTIAN ZANATTA MANANGAO RODRIGUES - (SÓCIO-ADMINISTRADOR) | ROBERTO FREIRE SANTIAGO MALTA FILHO - (SÓCIO COM CAPITAL) | ANA PAULA BONILHA DE TOLEDO COSTA - (SÓCIO-ADMINISTRADOR) | RODOLFO DOS SANTOS BRAUN - (SÓCIO SEM CAPITAL) | ANA MARIA COSTA MARTIN - (SÓCIO SEM CAPITAL) | JOAO MARCELO BARROS LEAL MONTENEGRO CARVALHO - (SÓCIO-ADMINISTRADOR) | VICTOR AUGUSTO AGUIAR MANFREDI - (SÓCIO SEM CAPITAL) | CAROLINA PELEGRINI PATREZE - (SÓCIO SEM CAPITAL) | JULIANA BONILHA DE TOLEDO COSTA - (SÓCIO SEM CAPITAL) | ANA LAURA GOULART COSTA - (SÓCIO SEM CAPITAL) | IRIS SUZANNE BRAGA CAMARGO MACHADO - (SÓCIO SEM CAPITAL) | GUSTAVO ALARCON RODRIGUES - (SÓCIO SEM CAPITAL) | ESCARLATH QUELLY XAVIER BERNARDES - (SÓCIO SEM CAPITAL) | FRANCISCA SATURNINO DO NASCIMENTO - (SÓCIO SEM CAPITAL) | FABIO MIGUEL PIMENTEL FRANCESCHI BARALDO - (SÓCIO SEM CAPITAL) | JULIANA SILVA DE ANDRADE FREIRE - (SÓCIO SEM CAPITAL) | MAIRA CONDE TAVARES - (SÓCIO SEM CAPITAL) | ANA HELENA MARQUES DE CASTRO - (SÓCIO SEM CAPITAL) | GABRIELA OLIVEIRA DE FARIA - (SÓCIO SEM CAPITAL) | MARCO AURELIO FARIA ARCOVERDE - (SÓCIO SEM CAPITAL) | GISELE COSTA TIMBO - (SÓCIO SEM CAPITAL) | BRUNO MENEZES PINTO DAMASCENO - (SÓCIO SEM CAPITAL) | NATHALIA HANG SCHIATTI - (SÓCIO SEM CAPITAL) | JULIA ROSSETO DE ALMEIDA CAMPOS - (SÓCIO SEM CAPITAL) | AUGUSTO DONIZETTE DE MORAES - (SÓCIO SEM CAPITAL) | GABRIELA SANTOS MONTEIRO - (SÓCIO SEM CAPITAL) | JULIA CRISTINA CADERNO CAPELETTI - (SÓCIO SEM CAPITAL) | MARCOS ALBERTO LOPES ANTUNES - (SÓCIO SEM CAPITAL) | JANAINA DOS SANTOS BRAGA - (SÓCIO SEM CAPITAL) | MARCO ANTONIO ANDRADE SILVEIRA MARTINS - (SÓCIO SEM CAPITAL) | AMANDA BARBIERI ESTANCIONI CANO - (SÓCIO SEM CAPITAL) | BARBARA BOMBAZAR GALVAO DA SILVA - (SÓCIO SEM CAPITAL) | CAMILA GIMENES - (SÓCIO SEM CAPITAL) | GABRIELLA BALTHAR CALMON DA COSTA LEITE BEMFICA - (SÓCIO SEM CAPITAL) | FERNANDA LUCIA PEREIRA - (SÓCIO SEM CAPITAL) | JULIANA DA SILVA TELLES - (SÓCIO SEM CAPITAL) | THIAGO GRACIANI DOS SANTOS - (SÓCIO SEM CAPITAL) | SANTOS & BEVILAQUA - SOCIEDADE DE ADVOGADOS. - (COTAS EM TESOURARIA) | JULIANA CAVALCANTE SAMPAIO TORRES DE MOURA - (SÓCIO SEM CAPITAL) | STACEY DE OLIVEIRA RODRIGUES FONTINELI - (SÓCIO SEM CAPITAL) | SIMA DEFAEI - (SÓCIO SEM CAPITAL) | LUCAS FLAUSINO ALVES DOS SANTOS - (SÓCIO SEM CAPITAL),"https://santosbevilaqua.com.br, http://www.santosbevilaqua.com.br/",https://www.linkedin.com/company/santos-bevilaqua-advogados,(11) 56431060,(16)991900602 | (11)982262511 | (21)980765857 | (11)996224727 | (21)983718141 | (11)996055251 | (11)965932528 | (11)993216825 | (21)983926519 | (11)988822050 | (19)991524660 | (11)911330888 | (11)994352026 | (16)993622111 | (21)969275627 | (12)997931725 | (21)981074806 | (11)988724022 | (21)993221204 | (11)974371869 | (11)992798550 | (21)988462503 | (11)986572890 | (11)974535464 | (11)977151184 | (21)975079009 | (16)982221362 | (11)999630245 | (11)955582074 | (21)983034558 | (11)970820627 | (19)982920273 | (11)975456515 | (11)971495634 | (11)967326072 | (35)997269864 | (61)983110945,(21)971589756 | (21)995494218 | (61)33662228 | (11)56431060 | (21)39935070,joao.dos@santosbevilaqua.com.br | marisa_dias@santosbevilaqua.com.br | pmarques@santosbevilaqua.com.br | financeiro@santosbevilaqua.com.br | informativoseguros@santosbevilaqua.com.br | jnogueira@santosbevilaqua.com.br | apcosta@santosbevilaqua.com.br | jmsantos@santosbevilaqua.com.br | kmanangao@santosbevilaqua.com.br | rmalta@santosbevilaqua.com.br | ithuin@santosbevilaqua.com.br | mbevilaqua@santosbevilaqua.com.br | afaciola@santosbevilaqua.com.br | adager@santosbevilaqua.com.br | saopaulo@santosbevilaqua.com.br
